size,dirtrate,performance,time
2,0.1,1,0.0
2,0.1,1,0.0
2,0.1,0,0.0
2,0.1,0,0.0
2,0.1,1,0.0
2,0.1,0,0.0
2,0.1,0,0.016445398330688477
2,0.1,1,0.0009987354278564453
2,0.1,1,0.0009999275207519531
2,0.1,1,0.0015120506286621094
2,0.2,1,0.0
2,0.2,0,0.0
2,0.2,1,0.0
2,0.2,2,0.0
2,0.2,1,0.0
2,0.2,0,0.0
2,0.2,2,0.0
2,0.2,2,0.0
2,0.2,3,0.012144804000854492
2,0.2,2,0.0016396045684814453
2,0.4,1,0.0
2,0.4,2,0.0
2,0.4,0,0.0
2,0.4,2,0.0
2,0.4,3,0.0
2,0.4,2,0.0
2,0.4,1,0.0
2,0.4,2,0.0
2,0.4,1,0.0
2,0.4,2,0.0
2,0.8,4,0.0
2,0.8,3,0.0
2,0.8,4,0.0
2,0.8,3,0.015060663223266602
2,0.8,2,0.001207113265991211
2,0.8,4,0.0
2,0.8,4,0.0
2,0.8,4,0.0
2,0.8,4,0.0
2,0.8,4,0.0
4,0.1,2,0.0
4,0.1,1,0.0
4,0.1,1,0.0
4,0.1,2,0.0
4,0.1,0,0.014712095260620117
4,0.1,1,0.001997709274291992
4,0.1,0,0.0010001659393310547
4,0.1,3,0.002445220947265625
4,0.1,0,0.0
4,0.1,1,0.0
4,0.2,2,0.0
4,0.2,3,0.0
4,0.2,4,0.0
4,0.2,2,0.0
4,0.2,5,0.0
4,0.2,7,0.0
4,0.2,3,0.0
4,0.2,3,0.0
4,0.2,7,0.014328718185424805
4,0.2,2,0.002005338668823242
4,0.4,2,0.0010061264038085938
4,0.4,6,0.0020074844360351562
4,0.4,6,0.002000570297241211
4,0.4,5,0.0019998550415039062
4,0.4,9,0.0009996891021728516
4,0.4,8,0.0009996891021728516
4,0.4,5,0.0
4,0.4,6,0.0009999275207519531
4,0.4,8,0.0010004043579101562
4,0.4,6,0.0009999275207519531
4,0.8,11,0.0009975433349609375
4,0.8,15,0.0010001659393310547
4,0.8,16,0.0007307529449462891
4,0.8,12,0.0010156631469726562
4,0.8,15,0.00103759765625
4,0.8,11,0.0010035037994384766
4,0.8,13,0.0009248256683349609
4,0.8,16,0.0010106563568115234
4,0.8,14,0.0016753673553466797
4,0.8,13,0.001744985580444336
8,0.1,5,0.0010437965393066406
