Agente;Tamaño (N×N);Suciedad (%);Suciedad inicial;Celdas limpiadas;Acciones totales;Rendimiento final
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.1;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.2;0;0;0;0
RandomAgent;2;0.4;1;1;32;0
RandomAgent;2;0.4;1;1;16;0
RandomAgent;2;0.4;1;1;19;0
RandomAgent;2;0.4;1;1;63;0
RandomAgent;2;0.4;1;1;86;0
RandomAgent;2;0.4;1;1;11;0
RandomAgent;2;0.4;1;1;11;0
RandomAgent;2;0.4;1;1;12;0
RandomAgent;2;0.4;1;1;14;0
RandomAgent;2;0.4;1;1;22;0
RandomAgent;2;0.8;3;3;55;0
RandomAgent;2;0.8;3;3;30;0
RandomAgent;2;0.8;3;3;45;0
RandomAgent;2;0.8;3;3;45;0
RandomAgent;2;0.8;3;3;34;0
RandomAgent;2;0.8;3;3;61;0
RandomAgent;2;0.8;3;3;15;0
RandomAgent;2;0.8;3;3;49;0
RandomAgent;2;0.8;3;3;52;0
RandomAgent;2;0.8;3;3;70;0
RandomAgent;4;0.1;1;1;18;0
RandomAgent;4;0.1;1;1;62;0
RandomAgent;4;0.1;1;1;62;0
RandomAgent;4;0.1;1;1;69;0
RandomAgent;4;0.1;1;1;252;0
RandomAgent;4;0.1;1;1;12;0
RandomAgent;4;0.1;1;1;52;0
RandomAgent;4;0.1;1;1;334;0
RandomAgent;4;0.1;1;1;317;0
RandomAgent;4;0.1;1;1;39;0
RandomAgent;4;0.2;3;3;62;0
RandomAgent;4;0.2;3;3;352;0
RandomAgent;4;0.2;3;3;167;0
RandomAgent;4;0.2;3;3;169;0
RandomAgent;4;0.2;3;3;483;0
RandomAgent;4;0.2;3;3;56;0
RandomAgent;4;0.2;3;3;213;0
RandomAgent;4;0.2;3;3;444;0
RandomAgent;4;0.2;3;2;102;0
RandomAgent;4;0.4;6;0;0;0
RandomAgent;4;0.4;6;0;0;0
RandomAgent;4;0.4;6;0;2;0
RandomAgent;4;0.4;6;0;2;0
RandomAgent;4;0.4;6;0;1;0
RandomAgent;4;0.4;0;0;0;0
RandomAgent;4;0.4;6;0;3;0
RandomAgent;4;0.4;0;0;0;0
RandomAgent;4;0.4;6;0;0;0
RandomAgent;4;0.8;12;0;1;0
RandomAgent;4;0.8;12;0;0;0
RandomAgent;4;0.8;12;1;2;0
RandomAgent;4;0.8;12;0;0;0
RandomAgent;4;0.8;12;0;0;0
RandomAgent;4;0.8;12;0;2;0
RandomAgent;4;0.8;12;0;0;0
RandomAgent;4;0.8;12;0;0;0
RandomAgent;4;0.8;12;1;2;0
RandomAgent;8;0.1;6;0;0;0
RandomAgent;8;0.1;6;0;0;0
RandomAgent;8;0.1;6;0;2;0
RandomAgent;8;0.1;6;0;0;0
RandomAgent;8;0.1;6;0;3;0
RandomAgent;8;0.1;6;0;48;0
RandomAgent;8;0.1;6;0;19;0
RandomAgent;8;0.1;6;1;77;0
RandomAgent;8;0.1;6;2;97;0
RandomAgent;8;0.1;6;0;27;0
RandomAgent;8;0.2;12;1;22;0
RandomAgent;8;0.2;12;2;42;0
RandomAgent;8;0.2;12;0;18;0
RandomAgent;8;0.2;12;1;25;0
RandomAgent;8;0.2;12;4;91;0
RandomAgent;8;0.2;12;0;24;0
RandomAgent;8;0.2;12;0;18;0
RandomAgent;8;0.2;12;1;68;0
RandomAgent;8;0.2;12;1;49;0
RandomAgent;8;0.2;12;1;17;0
RandomAgent;8;0.4;25;6;102;0
RandomAgent;8;0.4;25;0;12;0
RandomAgent;8;0.4;25;2;19;0
RandomAgent;8;0.4;25;4;102;0
RandomAgent;8;0.4;25;1;20;0
RandomAgent;8;0.4;25;4;96;0
RandomAgent;8;0.4;25;9;229;0
RandomAgent;8;0.4;25;1;52;0
RandomAgent;8;0.4;25;13;334;0
RandomAgent;8;0.4;25;12;317;0
RandomAgent;8;0.8;51;4;39;0
RandomAgent;8;0.8;51;6;67;0
RandomAgent;8;0.8;51;17;347;0
RandomAgent;8;0.8;51;20;179;0
RandomAgent;8;0.8;51;15;183;0
RandomAgent;8;0.8;51;25;457;0
