Agente;Tamaño (N×N);Suciedad (%);Suciedad inicial;Celdas limpiadas;Acciones totales;Rendimiento final
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.1;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.2;0;0;0;0
YourNameAgent;2;0.4;1;1;1;0
YourNameAgent;2;0.4;1;1;6;0
YourNameAgent;2;0.4;1;1;5;0
YourNameAgent;2;0.4;1;1;5;0
YourNameAgent;2;0.4;1;1;6;0
YourNameAgent;2;0.4;1;1;5;0
YourNameAgent;2;0.4;1;1;6;0
YourNameAgent;2;0.4;1;1;1;0
YourNameAgent;2;0.4;1;1;5;0
YourNameAgent;2;0.4;1;1;5;0
YourNameAgent;2;0.8;3;3;8;0
YourNameAgent;2;0.8;3;3;8;0
YourNameAgent;2;0.8;3;3;8;0
YourNameAgent;2;0.8;3;3;7;0
YourNameAgent;2;0.8;3;3;7;0
YourNameAgent;2;0.8;3;3;8;0
YourNameAgent;2;0.8;3;3;8;0
YourNameAgent;2;0.8;3;3;8;0
YourNameAgent;2;0.8;3;3;8;0
YourNameAgent;2;0.8;3;3;8;0
YourNameAgent;4;0.1;1;1;1;0
YourNameAgent;4;0.1;1;1;13;0
YourNameAgent;4;0.1;1;1;13;0
YourNameAgent;4;0.1;1;1;9;0
YourNameAgent;4;0.1;1;1;10;0
YourNameAgent;4;0.1;1;1;7;0
YourNameAgent;4;0.1;1;1;19;0
YourNameAgent;4;0.1;1;1;20;0
YourNameAgent;4;0.1;1;1;17;0
YourNameAgent;4;0.1;1;1;4;0
YourNameAgent;4;0.2;3;3;18;0
YourNameAgent;4;0.2;3;3;21;0
YourNameAgent;4;0.2;3;3;19;0
YourNameAgent;4;0.2;3;3;21;0
YourNameAgent;4;0.2;3;3;20;0
YourNameAgent;4;0.2;3;3;6;0
YourNameAgent;4;0.2;3;3;22;0
YourNameAgent;4;0.2;3;3;19;0
YourNameAgent;4;0.2;3;3;18;0
YourNameAgent;4;0.2;3;3;20;0
YourNameAgent;4;0.4;6;6;24;0
YourNameAgent;4;0.4;6;6;25;0
YourNameAgent;4;0.4;6;6;23;0
YourNameAgent;4;0.4;6;6;23;0
YourNameAgent;4;0.4;6;6;23;0
YourNameAgent;4;0.4;6;6;25;0
YourNameAgent;4;0.4;6;6;23;0
YourNameAgent;4;0.4;6;6;25;0
YourNameAgent;4;0.4;6;6;25;0
YourNameAgent;4;0.4;6;6;25;0
YourNameAgent;4;0.8;12;12;30;0
YourNameAgent;4;0.8;12;12;31;0
YourNameAgent;4;0.8;12;12;31;0
YourNameAgent;4;0.8;12;12;31;0
YourNameAgent;4;0.8;12;12;30;0
YourNameAgent;4;0.8;12;12;31;0
YourNameAgent;4;0.8;12;12;31;0
YourNameAgent;4;0.8;12;12;31;0
YourNameAgent;4;0.8;12;12;31;0
YourNameAgent;4;0.8;12;12;30;0
YourNameAgent;8;0.1;6;6;54;0
YourNameAgent;8;0.1;6;6;54;0
YourNameAgent;8;0.1;6;6;76;0
YourNameAgent;8;0.1;6;6;65;0
YourNameAgent;8;0.1;6;6;73;0
YourNameAgent;8;0.1;6;6;72;0
YourNameAgent;8;0.1;6;6;77;0
YourNameAgent;8;0.1;6;6;76;0
YourNameAgent;8;0.1;6;6;74;0
YourNameAgent;8;0.1;6;6;37;0
YourNameAgent;8;0.2;12;12;82;0
YourNameAgent;8;0.2;12;12;79;0
YourNameAgent;8;0.2;12;12;83;0
YourNameAgent;8;0.2;12;12;70;0
YourNameAgent;8;0.2;12;12;82;0
YourNameAgent;8;0.2;12;12;82;0
YourNameAgent;8;0.2;12;12;82;0
YourNameAgent;8;0.2;12;12;73;0
YourNameAgent;8;0.2;12;12;82;0
YourNameAgent;8;0.2;12;12;72;0
YourNameAgent;8;0.4;25;25;94;0
YourNameAgent;8;0.4;25;25;95;0
YourNameAgent;8;0.4;25;25;95;0
YourNameAgent;8;0.4;25;25;92;0
YourNameAgent;8;0.4;25;25;93;0
YourNameAgent;8;0.4;25;25;92;0
YourNameAgent;8;0.4;25;25;95;0
YourNameAgent;8;0.4;25;25;96;0
YourNameAgent;8;0.4;25;25;96;0
YourNameAgent;8;0.4;25;2;6;0
YourNameAgent;8;0.8;51;0;1;0
YourNameAgent;8;0.8;51;0;0;0
YourNameAgent;8;0.8;51;6;15;0
YourNameAgent;8;0.8;51;6;13;0
YourNameAgent;8;0.8;51;4;13;0
YourNameAgent;8;0.8;51;6;14;0
YourNameAgent;8;0.8;51;7;17;0
YourNameAgent;8;0.8;51;4;9;0
YourNameAgent;8;0.8;51;5;15;0
YourNameAgent;8;0.8;51;6;17;0
YourNameAgent;16;0.1;25;1;25;0
YourNameAgent;16;0.1;25;0;1;0
YourNameAgent;16;0.1;25;2;28;0
YourNameAgent;16;0.1;25;1;9;0
YourNameAgent;16;0.1;25;0;10;0
YourNameAgent;16;0.1;25;1;27;0
YourNameAgent;16;0.1;25;0;20;0
YourNameAgent;16;0.1;25;1;18;0
YourNameAgent;16;0.1;25;1;4;0
YourNameAgent;16;0.1;25;3;18;0
YourNameAgent;16;0.2;51;3;22;0
YourNameAgent;16;0.2;51;4;20;0
YourNameAgent;16;0.2;51;3;22;0
YourNameAgent;16;0.2;51;5;27;0
YourNameAgent;16;0.2;51;8;43;0
YourNameAgent;16;0.2;51;4;19;0
YourNameAgent;16;0.2;51;4;21;0
YourNameAgent;16;0.2;51;4;24;0
YourNameAgent;16;0.2;51;3;18;0
YourNameAgent;16;0.2;51;4;15;0
