Agente;Tamaño (N×N);Suciedad (%);Promedio suciedad inicial;Promedio celdas limpiadas;Promedio acciones;Promedio rendimiento
RandomAgent;2;0.1;0.0;0.0;0.0;0.0
RandomAgent;2;0.2;0.0;0.0;0.0;0.0
RandomAgent;2;0.4;1.0;1.0;28.6;0.0
RandomAgent;2;0.8;3.0;3.0;45.6;0.0
RandomAgent;4;0.1;1.0;1.0;121.7;0.0
RandomAgent;4;0.2;3.0;2.888888888888889;227.55555555555554;0.0
RandomAgent;4;0.4;4.666666666666667;0.0;0.8888888888888888;0.0
RandomAgent;4;0.8;12.0;0.2222222222222222;0.7777777777777778;0.0
RandomAgent;8;0.1;6.0;0.3;27.3;0.0
RandomAgent;8;0.2;12.0;1.1;37.4;0.0
RandomAgent;8;0.4;25.0;5.2;128.3;0.0
RandomAgent;8;0.8;51.0;14.5;208.7;0.0
RandomAgent;16;0.1;21.428571428571427;0.0;1.1428571428571428;0.0
RandomAgent;16;0.2;45.9;0.0;0.5;0.0
RandomAgent;16;0.4;91.8;0.7;13.2;0.0
RandomAgent;16;0.8;204.0;3.5;33.8;0.0
RandomAgent;32;0.1;102.0;0.4;43.1;0.0
RandomAgent;32;0.2;204.0;5.3;165.9;0.0
RandomAgent;32;0.4;409.0;9.285714285714286;207.85714285714286;0.0
RandomAgent;32;0.8;637.0;0.2222222222222222;1.0;0.0
RandomAgent;64;0.1;409.0;0.0;0.6;0.0
RandomAgent;64;0.2;737.1;0.8;29.3;0.0
RandomAgent;64;0.4;1638.0;1.2;37.7;0.0
RandomAgent;64;0.8;3276.0;10.8;99.4;0.0
RandomAgent;128;0.1;1638.0;2.7;232.4;0.0
RandomAgent;128;0.2;2808.0;0.0;5.142857142857143;0.0
RandomAgent;128;0.4;5824.888888888889;0.1111111111111111;1.1111111111111112;0.0
RandomAgent;128;0.8;11796.3;1.2;7.2;0.0
YourNameAgent;2;0.1;0.0;0.0;0.0;0.0
YourNameAgent;2;0.2;0.0;0.0;0.0;0.0
YourNameAgent;2;0.4;1.0;1.0;4.5;0.0
YourNameAgent;2;0.8;3.0;3.0;7.8;0.0
YourNameAgent;4;0.1;1.0;1.0;11.3;0.0
YourNameAgent;4;0.2;3.0;3.0;18.4;0.0
YourNameAgent;4;0.4;6.0;6.0;24.1;0.0
YourNameAgent;4;0.8;12.0;12.0;30.7;0.0
YourNameAgent;8;0.1;6.0;6.0;65.8;0.0
YourNameAgent;8;0.2;12.0;12.0;78.7;0.0
YourNameAgent;8;0.4;25.0;22.7;85.4;0.0
YourNameAgent;8;0.8;51.0;4.4;11.4;0.0
YourNameAgent;16;0.1;25.0;1.0;16.0;0.0
YourNameAgent;16;0.2;51.0;4.2;23.1;0.0
YourNameAgent;16;0.4;102.0;6.9;28.2;0.0
YourNameAgent;16;0.8;204.0;15.0;34.1;0.0
YourNameAgent;32;0.1;102.0;8.1;81.7;0.0
YourNameAgent;32;0.2;204.0;15.3;84.5;0.0
YourNameAgent;32;0.4;409.0;16.8;57.8;0.0
YourNameAgent;32;0.8;819.0;5.5;12.7;0.0
YourNameAgent;64;0.1;409.0;1.8;19.8;0.0
YourNameAgent;64;0.2;819.0;3.5;20.5;0.0
YourNameAgent;64;0.4;1638.0;7.7;28.3;0.0
YourNameAgent;64;0.8;3276.0;18.2;42.0;0.0
YourNameAgent;128;0.1;1638.0;6.1;74.8;0.0
YourNameAgent;128;0.2;3276.0;12.6;84.6;0.0
YourNameAgent;128;0.4;6553.0;16.2;53.0;0.0
YourNameAgent;128;0.8;13107.0;6.0;12.9;0.0
