algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
DFS,1,10000,0,0,0.18764729998656549,False
BFS,1,10000,0,0,0.06824240001151338,False
DLS,1,10000,0,0,0.05730230000335723,False
UCS,1,10000,0,0,0.02709109999705106,False
A*,1,7483,141,141,0.022583399986615404,True
DFS,2,2617,2473,2473,0.04548069997690618,True
BFS,2,10000,0,0,0.039313799992669374,False
DLS,2,8043,841,841,0.04554699998698197,True
UCS,2,3999,41,41,0.009757000021636486,True
A*,2,680,41,41,0.0038555999926757067,True
DFS,3,2469,2344,2344,0.0482901000068523,True
BFS,3,10000,0,0,0.04016370000317693,False
DLS,3,4247,858,858,0.02753099999972619,True
UCS,3,7532,50,50,0.02046689999406226,True
A*,3,954,50,50,0.004703400016296655,True
DFS,4,5983,5500,5500,0.24665190000087023,True
BFS,4,10000,0,0,0.042663500003982335,False
DLS,4,10000,0,0,0.05520269999396987,False
UCS,4,4489,40,40,0.011652500019408762,True
A*,4,626,40,40,0.002457099995808676,True
DFS,5,4414,3916,3916,0.11875680001685396,True
BFS,5,10000,0,0,0.03719020000426099,False
DLS,5,4450,1000,1000,0.02576650000992231,True
UCS,5,3182,42,42,0.008415199990849942,True
A*,5,631,42,42,0.0023058000078890473,True
DFS,6,8181,7609,7609,0.8848354000074323,True
BFS,6,10000,0,0,0.037222799990559,False
DLS,6,10000,0,0,0.11594469999545254,False
UCS,6,10000,0,0,0.028775200014933944,False
A*,6,2487,81,81,0.00868960001389496,True
DFS,7,10000,0,0,0.7824407999869436,False
BFS,7,10000,0,0,0.04099639999913052,False
DLS,7,10000,0,0,0.053322199993999675,False
UCS,7,6706,52,52,0.017126900027506053,True
A*,7,935,52,52,0.0036201000039000064,True
DFS,8,730,658,658,0.004842199996346608,True
BFS,8,10000,0,0,0.03887889999896288,False
DLS,8,730,658,658,0.004248799988999963,True
UCS,8,3362,34,34,0.00844509998569265,True
A*,8,505,34,34,0.0026308000087738037,True
DFS,9,4327,4079,4079,0.12973780001630075,True
BFS,9,10000,0,0,0.03978160000406206,False
DLS,9,6799,999,999,0.04230979998828843,True
UCS,9,5257,51,51,0.016385399998398498,True
A*,9,905,51,51,0.003347699996083975,True
DFS,10,1987,1768,1768,0.02510590001475066,True
BFS,10,10000,0,0,0.03947679998236708,False
DLS,10,6244,128,128,0.03633339999942109,True
UCS,10,5533,56,56,0.014524300000630319,True
A*,10,623,56,56,0.002733799978159368,True
DFS,11,7544,6792,6792,0.5210124999866821,True
BFS,11,10000,0,0,0.03600869997171685,False
DLS,11,8462,0,0,0.04254690001835115,False
UCS,11,10000,0,0,0.02802880000672303,False
A*,11,2789,92,92,0.00992080001742579,True
DFS,12,7805,6685,6685,0.4968576999963261,True
BFS,12,10000,0,0,0.03905319998739287,False
DLS,12,10000,0,0,0.08197489997837692,False
UCS,12,10000,0,0,0.06325760000618175,False
A*,12,4524,111,111,0.015365899977041408,True
DFS,13,7679,6949,6949,0.5467694999824744,True
BFS,13,10000,0,0,0.03787140001077205,False
DLS,13,10000,0,0,0.052704400004586205,False
UCS,13,4933,55,55,0.012387900002067909,True
A*,13,537,55,55,0.0031614999752491713,True
DFS,14,3864,3552,3552,0.08915260000503622,True
BFS,14,10000,0,0,0.0372164000000339,False
DLS,14,6692,1000,1000,0.036145799997029826,True
UCS,14,10000,0,0,0.027464899991173297,False
A*,14,3892,120,120,0.012772299989592284,True
DFS,15,3428,3094,3094,0.0798934000195004,True
BFS,15,10000,0,0,0.0386630000139121,False
DLS,15,5659,998,998,0.03008409999893047,True
UCS,15,1954,26,26,0.004916899983072653,True
A*,15,268,26,26,0.0021223000076133758,True
DFS,16,7231,6677,6677,0.4750851999851875,True
BFS,16,10000,0,0,0.038283800007775426,False
DLS,16,10000,0,0,0.04873099998803809,False
UCS,16,2633,29,29,0.006799399998271838,True
A*,16,299,29,29,0.0024492999946232885,True
DFS,17,6965,6236,6236,0.40238630000385456,True
BFS,17,10000,0,0,0.07161420001648366,False
DLS,17,9583,0,0,0.07831020001322031,False
UCS,17,10000,0,0,0.025938999984646216,False
A*,17,2837,92,92,0.010165399988181889,True
DFS,18,4363,3900,3900,0.1437566999811679,True
BFS,18,10000,0,0,0.03707669998402707,False
DLS,18,6273,1000,1000,0.03400270000565797,True
UCS,18,10000,0,0,0.028020700003253296,False
A*,18,4601,122,122,0.013629399996716529,True
DFS,19,10000,0,0,0.15340239999932237,False
BFS,19,10000,0,0,0.037476600002264604,False
DLS,19,10000,0,0,0.05751270000473596,False
UCS,19,3349,45,45,0.0097239000024274,True
A*,19,922,45,45,0.004785099998116493,True
DFS,20,7066,6553,6553,0.4478690999967512,True
BFS,20,5606,11,11,0.021325800014892593,True
DLS,20,10000,0,0,0.05315419999533333,False
UCS,20,343,11,11,0.0009123999916482717,True
A*,20,52,11,11,0.002047699992544949,True
DFS,21,2472,2302,2302,0.041056099988054484,True
BFS,21,10000,0,0,0.03762230000575073,False
DLS,21,4796,184,184,0.02259609999600798,True
UCS,21,8949,56,56,0.02355139999417588,True
A*,21,964,56,56,0.0034044000203721225,True
DFS,22,36,35,35,0.00013540001236833632,True
BFS,22,10000,0,0,0.041464900015853345,False
DLS,22,36,35,35,0.00014280001050792634,True
UCS,22,3916,35,35,0.010202899982687086,True
A*,22,90,35,35,0.0006834999949205667,True
DFS,23,2123,1976,1976,0.0230343000148423,True
BFS,23,10000,0,0,0.04169119999278337,False
DLS,23,2634,976,976,0.017877800011774525,True
UCS,23,10000,0,0,0.029373899975325912,False
A*,23,4984,110,110,0.015824000001884997,True
DFS,24,4478,3866,3866,0.1822468000173103,True
BFS,24,10000,0,0,0.09252050000941381,False
DLS,24,7548,308,308,0.04488130001118407,True
UCS,24,6392,46,46,0.017137000017100945,True
A*,24,266,46,46,0.0012798999960068613,True
DFS,25,5523,5193,5193,0.247834799985867,True
BFS,25,10000,0,0,0.03823730000294745,False
DLS,25,8575,999,999,0.045893300004536286,True
UCS,25,5888,47,47,0.015501199988648295,True
A*,25,278,47,47,0.002241100009996444,True
DFS,26,7967,7289,7289,0.6109086999786086,True
BFS,26,10000,0,0,0.03599569998914376,False
DLS,26,4887,0,0,0.022195500001544133,False
UCS,26,10000,0,0,0.026186499977484345,False
A*,26,4704,113,113,0.016299499984597787,True
DFS,27,3640,3462,3462,0.07731079999939539,True
BFS,27,10000,0,0,0.03697339998325333,False
DLS,27,5320,1000,1000,0.02769270000862889,True
UCS,27,6810,66,66,0.017950200010091066,True
A*,27,1604,66,66,0.005351400002837181,True
DFS,28,6881,6363,6363,0.3775366999907419,True
BFS,28,10000,0,0,0.07364079999388196,False
DLS,28,10000,0,0,0.08710979999159463,False
UCS,28,3128,37,37,0.008244600001489744,True
A*,28,180,37,37,0.0008548999903723598,True
DFS,29,3607,3368,3368,0.1223247000016272,True
BFS,29,1913,10,10,0.007325200014747679,True
DLS,29,7743,902,902,0.06657890000496991,True
UCS,29,283,10,10,0.0008074000070337206,True
A*,29,39,10,10,0.000676199997542426,True
DFS,30,301,294,294,0.0013504999806173146,True
BFS,30,10000,0,0,0.07514719999744557,False
DLS,30,301,294,294,0.001439499988919124,True
UCS,30,10000,0,0,0.06401720002759248,False
A*,30,1577,84,84,0.006098799989558756,True
