escenario,algoritmo,solucion_encontrada,nodos_explorados,long_camino,costo_total,path
Escenario 1 (Costo=1),BFS,True,23,7,,"[(1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (4, 3)]"
Escenario 1 (Costo=1),DFS,True,32,27,,"[(1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (1, 6), (1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7), (6, 6), (5, 6), (5, 5), (5, 4), (4, 4), (4, 3)]"
Escenario 1 (Costo=1),DLS(L=50),True,32,27,,"[(1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (1, 6), (1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7), (6, 6), (5, 6), (5, 5), (5, 4), (4, 4), (4, 3)]"
Escenario 1 (Costo=1),DLS(L=75),True,32,27,,"[(1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (1, 6), (1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7), (6, 6), (5, 6), (5, 5), (5, 4), (4, 4), (4, 3)]"
Escenario 1 (Costo=1),DLS(L=100),True,32,27,,"[(1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (1, 6), (1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7), (6, 6), (5, 6), (5, 5), (5, 4), (4, 4), (4, 3)]"
Escenario 1 (Costo=1),UCS,True,23,7,6.0,"[(1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (4, 3)]"
Escenario 1 (Costo=1),A*,True,10,7,6.0,"[(1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (4, 3)]"
"Escenario 2 (Izq/Der=1, Arr/Ab=10)",BFS,True,23,7,,"[(1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (4, 3)]"
"Escenario 2 (Izq/Der=1, Arr/Ab=10)",DFS,True,32,27,,"[(1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (1, 6), (1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7), (6, 6), (5, 6), (5, 5), (5, 4), (4, 4), (4, 3)]"
"Escenario 2 (Izq/Der=1, Arr/Ab=10)",DLS(L=50),True,32,27,,"[(1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (1, 6), (1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7), (6, 6), (5, 6), (5, 5), (5, 4), (4, 4), (4, 3)]"
"Escenario 2 (Izq/Der=1, Arr/Ab=10)",DLS(L=75),True,32,27,,"[(1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (1, 6), (1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7), (6, 6), (5, 6), (5, 5), (5, 4), (4, 4), (4, 3)]"
"Escenario 2 (Izq/Der=1, Arr/Ab=10)",DLS(L=100),True,32,27,,"[(1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (1, 6), (1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (6, 7), (6, 6), (5, 6), (5, 5), (5, 4), (4, 4), (4, 3)]"
"Escenario 2 (Izq/Der=1, Arr/Ab=10)",UCS,True,24,7,33.0,"[(1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (4, 3)]"
"Escenario 2 (Izq/Der=1, Arr/Ab=10)",A*,True,32,7,33.0,"[(1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (4, 3)]"
