algorithm_name,env_n,size,best_solution,H,states,time
random,0,4,"[2, 0, 3, 1]",0,68,0.000000
HC,0,4,"[1, 3, 0, 2]",0,13,0.001060
HCR,0,4,"[1, 3, 0, 2]",0,13,0.000000
SA,0,4,"[1, 3, 0, 2]",0,55,0.000000
GA,0,4,"[2, 0, 3, 1]",0,0,0.000000
random,1,4,"[2, 0, 3, 1]",0,21,0.000000
HC,1,4,"[1, 3, 2, 0]",1,25,0.000000
HCR,1,4,"[2, 0, 3, 1]",0,62,0.000000
SA,1,4,"[2, 0, 3, 1]",0,28,0.000000
GA,1,4,"[2, 0, 3, 1]",0,0,0.001068
random,2,4,"[1, 3, 0, 2]",0,194,0.000000
HC,2,4,"[1, 3, 0, 2]",0,25,0.000000
HCR,2,4,"[1, 3, 0, 2]",0,25,0.000000
SA,2,4,"[1, 3, 0, 2]",0,9,0.000000
GA,2,4,"[2, 0, 3, 1]",0,2,0.002013
random,3,4,"[2, 0, 3, 1]",0,27,0.000000
HC,3,4,"[1, 0, 2, 3]",2,25,0.000000
HCR,3,4,"[2, 0, 3, 1]",0,50,0.000000
SA,3,4,"[1, 3, 0, 2]",0,46,0.000000
GA,3,4,"[2, 0, 3, 1]",0,0,0.000000
random,4,4,"[1, 3, 0, 2]",0,124,0.001093
HC,4,4,"[1, 2, 0, 3]",1,13,0.000000
HCR,4,4,"[2, 0, 3, 1]",0,211,0.000000
SA,4,4,"[1, 3, 0, 2]",0,105,0.001178
GA,4,4,"[2, 0, 3, 1]",0,2,0.002035
random,5,4,"[2, 0, 3, 1]",0,146,0.000000
HC,5,4,"[1, 2, 0, 3]",1,25,0.000000
HCR,5,4,"[1, 3, 0, 2]",0,62,0.000000
SA,5,4,"[1, 3, 0, 2]",0,130,0.000000
GA,5,4,"[2, 0, 3, 1]",0,2,0.002036
random,6,4,"[1, 3, 0, 2]",0,414,0.001019
HC,6,4,"[1, 3, 2, 0]",1,25,0.000000
HCR,6,4,"[1, 3, 0, 2]",0,76,0.000000
SA,6,4,"[1, 3, 0, 2]",0,52,0.000000
GA,6,4,"[1, 3, 0, 2]",0,2,0.002041
random,7,4,"[1, 3, 0, 2]",0,182,0.000000
HC,7,4,"[2, 1, 3, 0]",1,13,0.000000
HCR,7,4,"[1, 3, 0, 2]",0,162,0.001271
SA,7,4,"[1, 3, 0, 2]",0,58,0.000000
GA,7,4,"[2, 0, 3, 1]",0,1,0.001153
random,8,4,"[1, 3, 0, 2]",0,120,0.001247
HC,8,4,"[0, 2, 3, 1]",1,25,0.000000
HCR,8,4,"[2, 0, 3, 1]",0,124,0.001236
SA,8,4,"[2, 0, 3, 1]",0,6,0.000000
GA,8,4,"[2, 0, 3, 1]",0,1,0.002157
random,9,4,"[1, 3, 0, 2]",0,155,0.000000
HC,9,4,"[3, 0, 2, 1]",1,25,0.001011
HCR,9,4,"[2, 0, 3, 1]",0,100,0.000000
SA,9,4,"[2, 0, 3, 1]",0,4,0.000000
GA,9,4,"[1, 3, 0, 2]",0,2,0.002113
random,10,4,"[1, 3, 0, 2]",0,213,0.000000
HC,10,4,"[0, 3, 3, 0]",2,13,0.000000
HCR,10,4,"[1, 3, 0, 2]",0,26,0.000000
SA,10,4,"[2, 0, 3, 1]",0,27,0.000000
GA,10,4,"[2, 0, 3, 1]",0,1,0.001132
random,11,4,"[1, 3, 0, 2]",0,151,0.000000
HC,11,4,"[2, 0, 3, 1]",0,25,0.000000
HCR,11,4,"[2, 0, 3, 1]",0,25,0.000000
SA,11,4,"[2, 0, 3, 1]",0,44,0.001360
GA,11,4,"[2, 0, 3, 1]",0,2,0.002098
random,12,4,"[1, 3, 0, 2]",0,99,0.000000
HC,12,4,"[3, 0, 2, 1]",1,25,0.000000
HCR,12,4,"[2, 0, 3, 1]",0,113,0.001024
SA,12,4,"[1, 3, 0, 2]",0,25,0.000000
GA,12,4,"[1, 3, 0, 2]",0,0,0.000000
random,13,4,"[2, 0, 3, 1]",0,139,0.001066
HC,13,4,"[0, 2, 3, 1]",1,37,0.000000
HCR,13,4,"[1, 3, 0, 2]",0,187,0.001190
SA,13,4,"[2, 0, 3, 1]",0,8,0.000000
GA,13,4,"[1, 3, 0, 2]",0,1,0.002116
random,14,4,"[1, 3, 0, 2]",0,63,0.000000
HC,14,4,"[3, 1, 0, 2]",1,37,0.000000
HCR,14,4,"[2, 0, 3, 1]",0,50,0.001375
SA,14,4,"[2, 0, 3, 1]",0,115,0.000000
GA,14,4,"[1, 3, 0, 2]",0,0,0.000000
random,15,4,"[2, 0, 3, 1]",0,178,0.000000
HC,15,4,"[3, 0, 2, 1]",1,37,0.000000
HCR,15,4,"[2, 0, 3, 1]",0,272,0.000000
SA,15,4,"[2, 0, 3, 1]",0,22,0.001079
GA,15,4,"[2, 0, 3, 1]",0,1,0.001046
random,16,4,"[1, 3, 0, 2]",0,91,0.000000
HC,16,4,"[1, 3, 0, 2]",0,37,0.000000
HCR,16,4,"[1, 3, 0, 2]",0,37,0.000000
SA,16,4,"[1, 3, 0, 2]",0,138,0.001024
GA,16,4,"[1, 3, 0, 2]",0,0,0.000000
random,17,4,"[1, 3, 0, 2]",0,159,0.001230
HC,17,4,"[3, 0, 2, 1]",1,37,0.000000
HCR,17,4,"[1, 3, 0, 2]",0,62,0.000000
SA,17,4,"[1, 3, 0, 2]",0,125,0.001181
GA,17,4,"[1, 3, 0, 2]",0,1,0.001000
