algorithm,N,seed,found,time,nodes
backtracking,4,0,1,0.000000,26
forward,4,0,1,0.000000,8
backtracking,4,1,1,0.001462,26
forward,4,1,1,0.000000,8
backtracking,4,2,1,0.000000,26
forward,4,2,1,0.000000,8
backtracking,4,3,1,0.001036,26
forward,4,3,1,0.000000,8
backtracking,4,4,1,0.000000,26
forward,4,4,1,0.000000,8
backtracking,4,5,1,0.000000,26
forward,4,5,1,0.000000,8
backtracking,4,6,1,0.000000,26
forward,4,6,1,0.000000,8
backtracking,4,7,1,0.000000,26
forward,4,7,1,0.000000,8
backtracking,4,8,1,0.000000,26
forward,4,8,1,0.000000,8
backtracking,4,9,1,0.000000,26
forward,4,9,1,0.000000,8
backtracking,4,10,1,0.000000,26
forward,4,10,1,0.000000,8
backtracking,4,11,1,0.000000,26
forward,4,11,1,0.000000,8
backtracking,4,12,1,0.000000,26
forward,4,12,1,0.000000,8
backtracking,4,13,1,0.000000,26
forward,4,13,1,0.000000,8
backtracking,4,14,1,0.000000,26
forward,4,14,1,0.001055,8
backtracking,4,15,1,0.000000,26
forward,4,15,1,0.000000,8
backtracking,4,16,1,0.000000,26
forward,4,16,1,0.000000,8
backtracking,4,17,1,0.000000,26
forward,4,17,1,0.000000,8
backtracking,4,18,1,0.000000,26
forward,4,18,1,0.000000,8
backtracking,4,19,1,0.000000,26
forward,4,19,1,0.000000,8
backtracking,4,20,1,0.000000,26
forward,4,20,1,0.000000,8
backtracking,4,21,1,0.000000,26
forward,4,21,1,0.001066,8
backtracking,4,22,1,0.000000,26
forward,4,22,1,0.000000,8
backtracking,4,23,1,0.000000,26
forward,4,23,1,0.000000,8
backtracking,4,24,1,0.000000,26
forward,4,24,1,0.000000,8
backtracking,4,25,1,0.000000,26
forward,4,25,1,0.000000,8
backtracking,4,26,1,0.000000,26
forward,4,26,1,0.000000,8
backtracking,4,27,1,0.000000,26
forward,4,27,1,0.000000,8
backtracking,4,28,1,0.000000,26
forward,4,28,1,0.000000,8
backtracking,4,29,1,0.000000,26
forward,4,29,1,0.000000,8
backtracking,8,0,1,0.001037,876
forward,8,0,1,0.000000,88
backtracking,8,1,1,0.001109,876
forward,8,1,1,0.000000,88
backtracking,8,2,1,0.001308,876
forward,8,2,1,0.000000,88
backtracking,8,3,1,0.001321,876
forward,8,3,1,0.000000,88
backtracking,8,4,1,0.000000,876
forward,8,4,1,0.001054,88
backtracking,8,5,1,0.000000,876
forward,8,5,1,0.001240,88
backtracking,8,6,1,0.000000,876
forward,8,6,1,0.001252,88
backtracking,8,7,1,0.001030,876
forward,8,7,1,0.000000,88
backtracking,8,8,1,0.001156,876
forward,8,8,1,0.001005,88
backtracking,8,9,1,0.000000,876
forward,8,9,1,0.000000,88
backtracking,8,10,1,0.001101,876
forward,8,10,1,0.000000,88
backtracking,8,11,1,0.001466,876
forward,8,11,1,0.000000,88
backtracking,8,12,1,0.001430,876
forward,8,12,1,0.000000,88
backtracking,8,13,1,0.001390,876
forward,8,13,1,0.000000,88
backtracking,8,14,1,0.001193,876
forward,8,14,1,0.001031,88
backtracking,8,15,1,0.000000,876
forward,8,15,1,0.001266,88
backtracking,8,16,1,0.000000,876
forward,8,16,1,0.001412,88
backtracking,8,17,1,0.000000,876
forward,8,17,1,0.001436,88
backtracking,8,18,1,0.000000,876
forward,8,18,1,0.001414,88
backtracking,8,19,1,0.000000,876
forward,8,19,1,0.001408,88
backtracking,8,20,1,0.001051,876
forward,8,20,1,0.000000,88
backtracking,8,21,1,0.001227,876
forward,8,21,1,0.000000,88
backtracking,8,22,1,0.001025,876
forward,8,22,1,0.000000,88
backtracking,8,23,1,0.001472,876
forward,8,23,1,0.001064,88
backtracking,8,24,1,0.000000,876
forward,8,24,1,0.001162,88
backtracking,8,25,1,0.000000,876
forward,8,25,1,0.001430,88
backtracking,8,26,1,0.001027,876
forward,8,26,1,0.000000,88
backtracking,8,27,1,0.001302,876
